test,ri_source,fp_label_3SD,fp_mean_3SD,fp_ci_lo_3SD,fp_ci_hi_3SD,fp_label_RAW,fp_mean_RAW,fp_ci_lo_RAW,fp_ci_hi_RAW,delta_mean
PT,Manufacturer,17.0 (16.4-17.5),16.9584314189389,16.42500147867747,17.519370674868398,17.4 (16.9-18.0),17.424911764705882,16.852794117647058,17.97058823529412,0.46648034576698194
aPTT,Manufacturer,31.9 (31.2-32.6),31.90691124260355,31.18328402366864,32.63920118343195,32.3 (31.6-33.0),32.31186989000647,31.603876242573964,33.03349802952768,0.4049586474029212
Fibrinogen,Manufacturer,14.3 (13.1-15.6),14.32873674059788,13.11395049823208,15.5898424943748,15.8 (14.6-17.1),15.823246999368289,14.592545799115603,17.087807959570437,1.4945102587704095
PT,refineR,13.1 (12.7-13.6),13.148837759507895,12.663245992784054,13.645235701188858,13.6 (13.1-14.1),13.618682352941176,13.123529411764705,14.147205882352942,0.46984459343328133
aPTT,refineR,10.9 (10.5-11.4),10.946556213017752,10.502958579881655,11.420266272189348,11.5 (11.0-11.9),11.468925357331921,11.005234986177284,11.940621139932947,0.5223691443141689
Fibrinogen,refineR,19.3 (18.1-20.7),19.33204757312761,18.06412729026037,20.669398907103822,20.7 (19.3-22.2),20.74485154769425,19.298799747315222,22.17308907138345,1.4128039745666392
PT,Continuous,11.4 (10.9-11.9),11.390968238007924,10.924321287040872,11.85914118412492,11.9 (11.4-12.3),11.872641176470589,11.388088235294118,12.34735294117647,0.48167293846266546
aPTT,Continuous,10.0 (9.5-10.5),10.005863905325445,9.544378698224852,10.455769230769231,10.5 (10.0-11.0),10.536780189400623,10.040438797717782,11.034645020881124,0.5309162840751789
Fibrinogen,Continuous,17.9 (16.6-19.3),17.94236579877853,16.648987463837997,19.255062680810028,19.3 (18.0-20.7),19.28616550852811,18.003790271636134,20.720941250789636,1.3437997097495824
PT,Guven,29.3 (28.7-30.0),29.341580410480866,28.65070680783108,30.03519252380671,29.7 (29.0-30.4),29.71049411764706,29.041029411764708,30.370735294117644,0.3689137071661932
aPTT,Guven,14.9 (14.4-15.4),14.921550295857989,14.408136094674555,15.432100591715976,15.4 (14.9-16.0),15.416034350920533,14.898682430445268,15.952002823363332,0.49448405506254467
