test,department,origin_rule,origin,n
Fibrinogen,COCUK KLINIK SERVIS (MT1-8A),R4_servis_klinik,Inpatient,85
Fibrinogen,COCUK NOROLOJI SERVISI (MT1-8B),R4_servis_klinik,Inpatient,84
Fibrinogen,COCUK ENFEKSIYON SERVISI (MT1-6B),R4_servis_klinik,Inpatient,46
Fibrinogen,COCUK GASTROENTROLOJI SERVISI (MT1-7B),R4_servis_klinik,Inpatient,44
Fibrinogen,COCUK ROMATOLOJI SERVISI (MT1-7C),R4_servis_klinik,Inpatient,40
Fibrinogen,KADIN HASTALIKLARI (KONSULTASYON),R1_konsultasyon,Inpatient,40
Fibrinogen,COCUK KARDIYOLOJI SERVISI (MT1-7C),R4_servis_klinik,Inpatient,34
Fibrinogen,COCUK KLINIK SERVIS (MT1-8C),R4_servis_klinik,Inpatient,24
Fibrinogen,COCUK PALYATIF SERVISI (MT1-7B),R4_servis_klinik,Inpatient,15
Fibrinogen,ORTOPEDI SERVISI (MT4-7C),R4_servis_klinik,Inpatient,15
Fibrinogen,COCUK CERRAHI SERVISI -1 (MT1-6C),R4_servis_klinik,Inpatient,13
Fibrinogen,COCUK CERRAHI SERVISI-2 (MT1-6A),R4_servis_klinik,Inpatient,12
Fibrinogen,GOZ SERVISI (MT3-6SAG),R4_servis_klinik,Inpatient,11
Fibrinogen,COCUK KARDIYOLOJI SERVISI (MT1-7B),R4_servis_klinik,Inpatient,10
Fibrinogen,COCUK VE ERGEN PSIKIYATRI SERV (F1-2.KAT),R4_servis_klinik,Inpatient,9
Fibrinogen,LDRP-1 SERVISI (MT1-2A),R4_servis_klinik,Inpatient,8
Fibrinogen,GIRISIMSEL RADYOLOJI (KONSULTASYON),R1_konsultasyon,Inpatient,6
Fibrinogen,KAPALI COCUK VE ERGEN PSIKIYATRI SERV (F4-2.KAT),R4_servis_klinik,Inpatient,5
Fibrinogen,NOROSIRURJI SERVISI (MT4-10B),R4_servis_klinik,Inpatient,5
Fibrinogen,ORTOPEDI SERVISI (MT4-7A),R4_servis_klinik,Inpatient,5
Fibrinogen,KADIN HASTALIKLARI KLINIK SERVIS (MT1-9A),R4_servis_klinik,Inpatient,4
Fibrinogen,KBB SERVIS-2 (MT4-9C),R4_servis_klinik,Inpatient,4
Fibrinogen,NOROSIRURJI SERVISI (MT4-10A),R4_servis_klinik,Inpatient,4
Fibrinogen,ANESTEZI (KONSULTASYON),R1_konsultasyon,Inpatient,3
Fibrinogen,KADIN HASTALIKLARI KLINIK SERVIS (MT1-10A),R4_servis_klinik,Inpatient,3
