instrument,test,qc_material_role,qc_lot,qc_mean,unit,cv_pct,reagent_lot,iqc_level_original
Cobas T-511-1,Fibrinogen,Abnormal-level QC (low fibrinogen),712753,113.81,mg/dL,3.56,,1
Cobas T-511-2,Fibrinogen,Abnormal-level QC (low fibrinogen),712753,114.57,mg/dL,3.77,,2
Cobas T-711-1,Fibrinogen,Abnormal-level QC (low fibrinogen),712753,112.41,mg/dL,3.87,,2
Cobas T-711-2,Fibrinogen,Abnormal-level QC (low fibrinogen),712753,113.13,mg/dL,6.12,,1
Cobas T-511-1,Fibrinogen,Abnormal-level QC (low fibrinogen),733200,114.65,mg/dL,3.31,,1
Cobas T-511-2,Fibrinogen,Abnormal-level QC (low fibrinogen),733200,114.03,mg/dL,3.09,,2
Cobas T-711-1,Fibrinogen,Abnormal-level QC (low fibrinogen),733200,113.73,mg/dL,2.96,,2
Cobas T-711-2,Fibrinogen,Abnormal-level QC (low fibrinogen),733200,108.6,mg/dL,4.85,,1
Cobas T-511-1,Fibrinogen,Abnormal-level QC (low fibrinogen),748268,107.56,mg/dL,3.85,,1
Cobas T-511-2,Fibrinogen,Abnormal-level QC (low fibrinogen),748268,109.87,mg/dL,3.49,,2
Cobas T-711-1,Fibrinogen,Abnormal-level QC (low fibrinogen),748268,106.74,mg/dL,3.63,,2
Cobas T-711-2,Fibrinogen,Abnormal-level QC (low fibrinogen),748268,106.41,mg/dL,4.07,,1
Cobas T-511-1,Fibrinogen,Abnormal-level QC (low fibrinogen),790736,102.53,mg/dL,3.36,,1
Cobas T-511-2,Fibrinogen,Abnormal-level QC (low fibrinogen),790736,104.41,mg/dL,2.86,,2
Cobas T-711-1,Fibrinogen,Abnormal-level QC (low fibrinogen),790736,104.46,mg/dL,2.97,,2
Cobas T-711-2,Fibrinogen,Abnormal-level QC (low fibrinogen),790736,103.19,mg/dL,4.09,,1
Cobas T-511-1,Fibrinogen,Normal-level QC,707502,256.6,mg/dL,4.98,,2
Cobas T-511-2,Fibrinogen,Normal-level QC,707502,256.91,mg/dL,5.56,,1
Cobas T-711-1,Fibrinogen,Normal-level QC,707502,254.81,mg/dL,5.47,,1
Cobas T-711-2,Fibrinogen,Normal-level QC,707502,258.19,mg/dL,5.9,,2
Cobas T-511-1,Fibrinogen,Normal-level QC,726238,279.21,mg/dL,4.48,,2
Cobas T-511-2,Fibrinogen,Normal-level QC,726238,279.23,mg/dL,4.09,,1
Cobas T-711-1,Fibrinogen,Normal-level QC,726238,279.55,mg/dL,4.22,,1
Cobas T-711-2,Fibrinogen,Normal-level QC,726238,277.54,mg/dL,4.26,,2
Cobas T-511-1,Fibrinogen,Normal-level QC,752451,258.75,mg/dL,5.24,,2
Cobas T-511-2,Fibrinogen,Normal-level QC,752451,257.19,mg/dL,4.99,,1
Cobas T-711-1,Fibrinogen,Normal-level QC,752451,258.35,mg/dL,5.51,,1
Cobas T-711-2,Fibrinogen,Normal-level QC,752451,258.12,mg/dL,5.04,,2
Cobas T-511-1,Fibrinogen,Normal-level QC,797854,246.5,mg/dL,5.78,,2
Cobas T-511-2,Fibrinogen,Normal-level QC,797854,248.65,mg/dL,5.41,,1
Cobas T-711-1,Fibrinogen,Normal-level QC,797854,246.87,mg/dL,5.42,,1
Cobas T-711-2,Fibrinogen,Normal-level QC,797854,244.3,mg/dL,4.97,,2
Cobas T-511-1,Fibrinogen,Normal-level QC,823308,247.55,mg/dL,5.45,,2
Cobas T-511-2,Fibrinogen,Normal-level QC,823308,249.11,mg/dL,5.25,,1
Cobas T-711-1,Fibrinogen,Normal-level QC,823308,250.56,mg/dL,5.03,,1
Cobas T-711-2,Fibrinogen,Normal-level QC,823308,246.98,mg/dL,4.98,,2
Cobas T-711-2,PT,Abnormal-level QC,670060,27.62,s,1.94,,2
Cobas T-511-1,PT,Abnormal-level QC,707513,28.33,s,3.56,,2
Cobas T-511-2,PT,Abnormal-level QC,707513,28.92,s,2.22,,2
Cobas T-711-2,PT,Abnormal-level QC,707513,28.32,s,3.89,,2
Cobas T-511-1,PT,Abnormal-level QC,726229,28.53,s,3.35,,2
Cobas T-511-2,PT,Abnormal-level QC,726229,28.72,s,3.52,,2
Cobas T-711-2,PT,Abnormal-level QC,726229,28.39,s,3.73,,2
Cobas T-511-1,PT,Abnormal-level QC,752458,28.24,s,4.3,,2
Cobas T-511-2,PT,Abnormal-level QC,752458,28.49,s,4.3,,2
Cobas T-711-1,PT,Abnormal-level QC,752458,27.94,s,5.58,,2
Cobas T-711-2,PT,Abnormal-level QC,752458,28.34,s,4.38,,2
Cobas T-511-1,PT,Abnormal-level QC,773132,28.22,s,4.79,,2
Cobas T-511-2,PT,Abnormal-level QC,773132,28.62,s,4.6,,2
Cobas T-711-1,PT,Abnormal-level QC,773132,28.4,s,4.64,,2
Cobas T-711-2,PT,Abnormal-level QC,773132,28.3,s,4.7,,2
Cobas T-511-1,PT,Abnormal-level QC,797868,27.78,s,3.34,,2
Cobas T-511-2,PT,Abnormal-level QC,797868,27.8,s,4.08,,2
Cobas T-711-1,PT,Abnormal-level QC,797868,27.72,s,3.3,,2
Cobas T-711-2,PT,Abnormal-level QC,797868,27.88,s,2.82,,2
Cobas T-511-1,PT,Abnormal-level QC,822377,28.26,s,4.22,,2
Cobas T-511-2,PT,Abnormal-level QC,822377,28.63,s,4.25,,2
Cobas T-711-1,PT,Abnormal-level QC,822377,28.22,s,4.17,,2
Cobas T-711-2,PT,Abnormal-level QC,822377,28.2,s,4.24,,2
Cobas T-511-1,PT,Normal-level QC,707502,9.87,s,3.15,,1
Cobas T-511-2,PT,Normal-level QC,707502,9.82,s,2.98,,1
Cobas T-711-2,PT,Normal-level QC,707502,9.67,s,4.17,,1
Cobas T-511-1,PT,Normal-level QC,726238,10.28,s,2.26,,1
Cobas T-511-2,PT,Normal-level QC,726238,9.38,s,3.56,,1
