test,source_a,source_b,n,rate_a,rate_b,diff_pp,diff_ci_lo,diff_ci_hi,p_boot,discordant_a_only,discordant_b_only,mcnemar_p
aPTT,Direct,refineR,17001,9.364155049702958,11.475795541438739,-2.1116404917357805,-2.3763308040703492,-1.8351861655196755,0.002,130,489,6.046106454366917e-47
aPTT,Guven,Continuous,17001,15.422622198694194,10.705252632198107,4.717369566496087,4.39385918475384,5.070289982942181,0.002,904,102,1.0185607514998185e-140
aPTT,Manufacturer,Continuous,17001,32.327510146461975,10.705252632198107,21.622257514263868,20.96876654314452,22.305011469913534,0.002,3769,93,0
aPTT,Manufacturer,refineR,17001,32.327510146461975,11.475795541438739,20.851714605023236,20.192782777483675,21.53417446032586,0.002,3770,225,0
Fibrinogen,Direct,refineR,3166,22.20467466835123,20.75173720783323,1.452937460518001,0.66250789639924,2.3373341756159185,0.002,111,65,6.938377508993435e-4
Fibrinogen,Manufacturer,Continuous,3166,15.792798483891346,20.846493998736577,-5.053695514845231,-6.002053063802905,-4.106127605811749,0.002,31,191,1.3855123223563654e-26
Fibrinogen,Manufacturer,refineR,3166,15.792798483891346,20.75173720783323,-4.958938723941884,-5.811749842072017,-4.168509159823121,0.002,25,182,2.158834839604271e-27
PT,Direct,refineR,17000,10.105882352941178,13.617647058823529,-3.511764705882351,-3.7707352941176477,-3.241176470588236,0.002,0,597,2.0463598554286053e-131
PT,Guven,Continuous,17000,29.729411764705883,12.929411764705884,16.799999999999997,16.147058823529413,17.4825,0.002,3235,379,0
PT,Manufacturer,Continuous,17000,17.41764705882353,12.929411764705884,4.488235294117645,4.070441176470588,4.894117647058824,0.002,1003,240,1.3491457990205902e-103
PT,Manufacturer,refineR,17000,17.41764705882353,13.617647058823529,3.8000000000000007,3.4526470588235276,4.158970588235294,0.002,839,193,1.1499209013695095e-89
