test,age_int,n,fp_manufacturer,fp_refiner,fp_continuous,fp_guven,fp_direct
Fibrinogen,1,208,18.75,18.75,18.269230769230766,NA,25
Fibrinogen,2,167,16.766467065868262,18.562874251497004,16.766467065868262,NA,25.748502994011975
Fibrinogen,3,138,16.666666666666664,19.565217391304348,18.84057971014493,NA,22.463768115942027
Fibrinogen,4,148,14.864864864864865,22.972972972972975,22.2972972972973,NA,20.27027027027027
Fibrinogen,5,172,12.209302325581394,14.534883720930234,13.953488372093023,NA,18.6046511627907
Fibrinogen,6,171,11.695906432748536,15.789473684210526,16.374269005847953,NA,18.128654970760234
Fibrinogen,7,165,13.939393939393941,20,19.393939393939394,NA,18.181818181818183
Fibrinogen,8,155,14.838709677419354,15.483870967741936,17.419354838709676,NA,18.70967741935484
Fibrinogen,9,148,13.513513513513514,18.91891891891892,18.243243243243242,NA,20.945945945945947
Fibrinogen,10,164,14.634146341463413,21.341463414634145,20.121951219512198,NA,20.73170731707317
Fibrinogen,11,137,8.75912408759124,15.328467153284672,14.5985401459854,NA,15.328467153284672
Fibrinogen,12,146,16.43835616438356,21.91780821917808,20.54794520547945,NA,21.232876712328768
Fibrinogen,13,166,12.650602409638553,19.879518072289155,18.67469879518072,NA,19.27710843373494
Fibrinogen,14,188,17.02127659574468,21.27659574468085,21.808510638297875,NA,22.872340425531913
Fibrinogen,15,240,15.833333333333332,22.083333333333332,22.5,NA,22.916666666666664
Fibrinogen,16,278,17.985611510791365,23.021582733812952,24.46043165467626,NA,25.179856115107913
Fibrinogen,17,375,21.333333333333336,29.599999999999998,32,NA,28.799999999999997
PT,1,1155,17.74891774891775,15.584415584415584,15.757575757575756,22.770562770562773,12.294372294372295
PT,2,880,18.181818181818183,15.795454545454547,15.568181818181817,30.113636363636363,12.386363636363637
PT,3,750,17.066666666666666,14.666666666666666,13.866666666666665,30.933333333333334,11.866666666666667
PT,4,825,15.272727272727273,11.878787878787879,11.636363636363637,31.393939393939398,8.727272727272728
PT,5,978,15.746421267893659,12.167689161554192,12.269938650306749,30.777096114519427,9.202453987730062
PT,6,1038,16.184971098265898,11.753371868978805,10.982658959537572,30.732177263969174,8.959537572254336
PT,7,1026,16.764132553606238,14.327485380116958,13.64522417153996,27.680311890838205,9.551656920077972
PT,8,942,14.225053078556263,11.464968152866243,11.252653927813164,22.717622080679405,8.70488322717622
PT,9,881,18.047673098751417,12.826333711691259,11.91827468785471,31.441543700340524,9.875141884222474
PT,10,841,14.982164090368608,11.058263971462544,10.70154577883472,30.202140309155766,8.204518430439952
PT,11,775,14.32258064516129,10.064516129032258,9.290322580645162,32.645161290322584,7.483870967741936
PT,12,793,17.78058007566204,11.727616645649434,10.718789407313997,39.09205548549811,7.6923076923076925
PT,13,901,17.980022197558267,12.763596004439512,11.098779134295228,40.066592674805776,8.76803551609323
PT,14,964,18.983402489626556,14.522821576763487,14.419087136929459,37.136929460580916,11.20331950207469
PT,15,1227,19.315403422982886,15.158924205378973,13.121434392828036,31.784841075794624,11.083944580277098
PT,16,1395,20.86021505376344,16.415770609318997,14.910394265232977,27.741935483870968,11.899641577060931
PT,17,1629,18.661755678330262,15.039901780233272,14.671577655003068,20.073664825046038,10.988336402701043
aPTT,1,1172,39.76109215017065,16.808873720136518,12.457337883959044,19.7098976109215,11.006825938566553
aPTT,2,888,37.5,17.22972972972973,13.175675675675674,19.594594594594593,11.26126126126126
aPTT,3,742,35.04043126684636,12.129380053908356,9.164420485175203,12.93800539083558,7.008086253369273
aPTT,4,821,33.37393422655298,10.962241169305726,9.500609013398295,12.423873325213155,6.455542021924482
aPTT,5,971,36.56024716786818,11.225540679711637,10.401647785787848,12.461380020597321,6.6941297631307934
aPTT,6,1018,39.587426326129666,11.100196463654225,10.510805500982318,12.671905697445974,6.8762278978389
aPTT,7,1033,36.30203291384318,11.423039690222653,11.519845111326234,14.52081316553727,7.357212003872217
aPTT,8,937,36.926360725720386,10.138740661686233,10.779082177161152,14.727854855923159,6.08324439701174
aPTT,9,885,37.175141242937855,12.768361581920903,12.88135593220339,14.576271186440678,7.909604519774012
aPTT,10,843,32.62158956109134,10.55753262158956,10.320284697508896,12.69276393831554,5.338078291814947
aPTT,11,781,33.162612035851474,10.243277848911651,9.859154929577464,12.03585147247119,5.249679897567221
aPTT,12,789,31.1787072243346,10.899873257287707,10.26615969581749,13.307984790874524,13.054499366286437
aPTT,13,885,28.8135593220339,10.282485875706215,10.847457627118644,13.67231638418079,12.768361581920903
aPTT,14,963,28.971962616822427,11.838006230529595,12.357217030114226,16.510903426791277,13.811007268951196
aPTT,15,1194,24.455611390284755,9.128978224455611,8.961474036850921,15.326633165829145,10.804020100502512
aPTT,16,1393,24.838478104809763,10.050251256281408,9.691313711414214,18.090452261306535,11.916726489590811
aPTT,17,1686,23.902728351126928,9.727164887307236,9.905100830367735,19.632265717674972,11.269276393831554
