test,age,n,lower,upper,n_total,pass_rate,n_outside,prop_outside,binom_p,binom_reject,transferable
PT,1,68,7.8,10.3,1155,12.5,263,22.770562770562773,3.969910600018377e-95,Yes,No
PT,2,116,7.8,10.1,880,2.5,265,30.113636363636363,7.528513000104803e-127,Yes,No
PT,3,57,7.8,10,750,2,232,30.933333333333334,4.509610226897872e-114,Yes,No
PT,4,26,7.9,10,825,2.5,259,31.393939393939398,7.749738911203912e-129,Yes,No
PT,5,57,8,10,978,2.5,301,30.777096114519427,9.978393385071166e-147,Yes,No
PT,6,97,8,10.1,1038,3,319,30.732177263969174,3.576837166855965e-155,Yes,No
PT,7,137,8,10.2,1026,6.5,284,27.680311890838205,2.1974234466132005e-125,Yes,No
PT,8,140,8.1,10.3,942,13.5,214,22.717622080679405,1.4279920250526778e-77,Yes,No
PT,9,97,7.9,10.1,881,2.5,277,31.441543700340524,7.664921312033324e-138,Yes,No
PT,10,51,7.9,10.1,841,3.5000000000000004,254,30.202140309155766,5.366528951623979e-122,Yes,No
PT,11,26,7.9,10,775,1.5,253,32.645161290322584,2.1934902440759143e-130,Yes,No
PT,12,38,8,10,793,0,310,39.09205548549811,7.516459255269944e-186,Yes,No
PT,13,27,8,10,901,0.5,361,40.066592674805776,1.6669217950325168e-220,Yes,No
PT,14,22,8.1,10.1,964,0,358,37.136929460580916,2.390723894166158e-205,Yes,No
PT,15,19,8.1,10.2,1227,1,390,31.784841075794624,3.707238071042229e-195,Yes,No
PT,16,15,8.1,10.3,1395,3,387,27.741935483870968,1.7249240927350942e-170,Yes,No
PT,17,25,8.2,10.5,1629,26,327,20.073664825046038,6.1943534876743264e-102,Yes,No
PT,18,14,8.2,10.7,0,NA,NA,NA,NA,NA,NA
aPTT,1,66,25.2,35.6,1172,28.499999999999996,231,19.7098976109215,5.148348269696561e-71,Yes,No
aPTT,2,115,24.6,34.9,888,24,174,19.594594594594593,1.3886344012662482e-53,Yes,No
aPTT,3,59,24.3,34.5,742,52,96,12.93800539083558,4.650392482318754e-17,Yes,No
aPTT,4,26,24.3,34.4,821,57.49999999999999,102,12.423873325213155,8.14743643639718e-17,Yes,No
aPTT,5,53,24.5,34.6,971,54,121,12.461380020597321,9.825921176517879e-20,Yes,No
aPTT,6,96,24.8,34.8,1018,49.5,129,12.671905697445974,1.5075113210527735e-21,Yes,No
aPTT,7,136,25.1,34.9,1033,44.5,150,14.52081316553727,5.621776881016957e-31,Yes,No
aPTT,8,133,25.2,35.1,937,41.5,138,14.727854855923159,2.896879026265997e-29,Yes,No
aPTT,9,97,25.2,36.2,885,33.5,129,14.576271186440678,4.7852338940254154e-27,Yes,No
aPTT,10,50,24.9,35.2,843,51.5,107,12.69276393831554,3.2192557684421385e-18,Yes,No
aPTT,11,26,24.6,34.4,781,54,94,12.03585147247119,8.798743751594491e-15,Yes,No
aPTT,12,40,24.4,33.9,789,50.5,105,13.307984790874524,2.214505600236269e-19,Yes,No
aPTT,13,29,24.3,33.6,885,43.5,121,13.67231638418079,4.618223412913041e-23,Yes,No
aPTT,14,23,24.4,33.5,963,34.5,159,16.510903426791277,1.9154377931229495e-39,Yes,No
aPTT,15,19,24.6,33.7,1194,42.5,183,15.326633165829145,1.42781943244911e-40,Yes,No
aPTT,16,18,24.9,34.3,1393,23,252,18.090452261306535,1.9588318137916076e-69,Yes,No
aPTT,17,24,25.4,35.1,1686,25,331,19.632265717674972,2.0363486822469435e-100,Yes,No
aPTT,18,12,24.7,32.4,0,NA,NA,NA,NA,NA,NA
