test,age_int,n,ri_source,fp_rate
Fibrinogen,1,206,Manufacturer,17.96116504854369
Fibrinogen,1,206,refineR,17.96116504854369
Fibrinogen,1,206,Continuous (GAMLSS),20.388349514563107
Fibrinogen,1,206,Guven et al.,NA
Fibrinogen,2,165,Manufacturer,15.757575757575756
Fibrinogen,2,165,refineR,17.575757575757574
Fibrinogen,2,165,Continuous (GAMLSS),15.757575757575756
Fibrinogen,2,165,Guven et al.,NA
Fibrinogen,3,136,Manufacturer,15.441176470588236
Fibrinogen,3,136,refineR,18.38235294117647
Fibrinogen,3,136,Continuous (GAMLSS),18.38235294117647
Fibrinogen,3,136,Guven et al.,NA
Fibrinogen,4,146,Manufacturer,13.698630136986301
Fibrinogen,4,146,refineR,21.91780821917808
Fibrinogen,4,146,Continuous (GAMLSS),21.232876712328768
Fibrinogen,4,146,Guven et al.,NA
Fibrinogen,5,170,Manufacturer,11.176470588235295
Fibrinogen,5,170,refineR,13.529411764705882
Fibrinogen,5,170,Continuous (GAMLSS),13.529411764705882
Fibrinogen,5,170,Guven et al.,NA
Fibrinogen,6,168,Manufacturer,10.119047619047619
Fibrinogen,6,168,refineR,14.285714285714285
Fibrinogen,6,168,Continuous (GAMLSS),13.690476190476192
Fibrinogen,6,168,Guven et al.,NA
Fibrinogen,7,164,Manufacturer,13.414634146341465
Fibrinogen,7,164,refineR,19.51219512195122
Fibrinogen,7,164,Continuous (GAMLSS),19.51219512195122
Fibrinogen,7,164,Guven et al.,NA
Fibrinogen,8,154,Manufacturer,14.285714285714285
Fibrinogen,8,154,refineR,14.935064935064934
Fibrinogen,8,154,Continuous (GAMLSS),14.935064935064934
Fibrinogen,8,154,Guven et al.,NA
Fibrinogen,9,147,Manufacturer,12.925170068027212
Fibrinogen,9,147,refineR,18.367346938775512
Fibrinogen,9,147,Continuous (GAMLSS),16.3265306122449
Fibrinogen,9,147,Guven et al.,NA
Fibrinogen,10,162,Manufacturer,13.580246913580247
Fibrinogen,10,162,refineR,20.37037037037037
Fibrinogen,10,162,Continuous (GAMLSS),19.1358024691358
Fibrinogen,10,162,Guven et al.,NA
Fibrinogen,11,137,Manufacturer,8.75912408759124
Fibrinogen,11,137,refineR,15.328467153284672
Fibrinogen,11,137,Continuous (GAMLSS),12.408759124087592
Fibrinogen,11,137,Guven et al.,NA
Fibrinogen,12,139,Manufacturer,12.23021582733813
Fibrinogen,12,139,refineR,17.985611510791365
Fibrinogen,12,139,Continuous (GAMLSS),16.546762589928058
Fibrinogen,12,139,Guven et al.,NA
Fibrinogen,13,164,Manufacturer,11.585365853658537
Fibrinogen,13,164,refineR,18.902439024390244
Fibrinogen,13,164,Continuous (GAMLSS),16.463414634146343
Fibrinogen,13,164,Guven et al.,NA
Fibrinogen,14,186,Manufacturer,16.129032258064516
Fibrinogen,14,186,refineR,20.43010752688172
Fibrinogen,14,186,Continuous (GAMLSS),19.892473118279568
Fibrinogen,14,186,Guven et al.,NA
Fibrinogen,15,232,Manufacturer,12.931034482758621
Fibrinogen,15,232,refineR,19.396551724137932
Fibrinogen,15,232,Continuous (GAMLSS),16.379310344827587
Fibrinogen,15,232,Guven et al.,NA
Fibrinogen,16,270,Manufacturer,15.555555555555555
Fibrinogen,16,270,refineR,20.74074074074074
Fibrinogen,16,270,Continuous (GAMLSS),18.51851851851852
Fibrinogen,16,270,Guven et al.,NA
Fibrinogen,17,365,Manufacturer,19.17808219178082
Fibrinogen,17,365,refineR,27.671232876712327
Fibrinogen,17,365,Continuous (GAMLSS),23.28767123287671
Fibrinogen,17,365,Guven et al.,NA
PT,1,1143,Manufacturer,16.885389326334206
PT,1,1143,refineR,14.698162729658792
PT,1,1143,Continuous (GAMLSS),13.21084864391951
PT,1,1143,Guven et al.,21.95975503062117
PT,2,873,Manufacturer,17.525773195876287
PT,2,873,refineR,15.120274914089347
PT,2,873,Continuous (GAMLSS),13.745704467353953
PT,2,873,Guven et al.,29.553264604810998
PT,3,745,Manufacturer,16.51006711409396
PT,3,745,refineR,14.093959731543624
PT,3,745,Continuous (GAMLSS),12.885906040268457
PT,3,745,Guven et al.,30.469798657718123
PT,4,822,Manufacturer,14.963503649635038
PT,4,822,refineR,11.557177615571776
PT,4,822,Continuous (GAMLSS),9.48905109489051
PT,4,822,Guven et al.,31.143552311435524
PT,5,970,Manufacturer,15.051546391752577
PT,5,970,refineR,11.443298969072165
PT,5,970,Continuous (GAMLSS),9.896907216494846
PT,5,970,Guven et al.,30.20618556701031
PT,6,1030,Manufacturer,15.53398058252427
PT,6,1030,refineR,11.067961165048544
PT,6,1030,Continuous (GAMLSS),9.902912621359224
PT,6,1030,Guven et al.,30.194174757281555
PT,7,1020,Manufacturer,16.274509803921568
PT,7,1020,refineR,13.823529411764707
PT,7,1020,Continuous (GAMLSS),11.27450980392157
PT,7,1020,Guven et al.,27.254901960784313
PT,8,934,Manufacturer,13.49036402569593
PT,8,934,refineR,10.706638115631693
PT,8,934,Continuous (GAMLSS),9.635974304068522
PT,8,934,Guven et al.,22.055674518201286
PT,9,877,Manufacturer,17.67388825541619
PT,9,877,refineR,12.428734321550742
PT,9,877,Continuous (GAMLSS),10.604332953249715
PT,9,877,Guven et al.,31.12884834663626
PT,10,837,Manufacturer,14.575866188769416
PT,10,837,refineR,10.63321385902031
PT,10,837,Continuous (GAMLSS),9.438470728793309
PT,10,837,Guven et al.,29.868578255675033
PT,11,771,Manufacturer,13.878080415045396
PT,11,771,refineR,9.59792477302205
PT,11,771,Continuous (GAMLSS),8.690012970168612
PT,11,771,Guven et al.,32.295719844357976
PT,12,791,Manufacturer,17.572692793931733
PT,12,791,refineR,11.504424778761061
PT,12,791,Continuous (GAMLSS),8.72313527180784
PT,12,791,Guven et al.,38.93805309734513
PT,13,899,Manufacturer,17.797552836484982
PT,13,899,refineR,12.569521690767518
PT,13,899,Continuous (GAMLSS),10.122358175750835
PT,13,899,Guven et al.,39.93325917686318
PT,14,959,Manufacturer,18.561001042752867
PT,14,959,refineR,14.077163712200209
PT,14,959,Continuous (GAMLSS),12.721584984358708
PT,14,959,Guven et al.,36.809176225234616
PT,15,1219,Manufacturer,18.78589007383101
PT,15,1219,refineR,14.602132895816242
PT,15,1219,Continuous (GAMLSS),11.977030352748153
PT,15,1219,Guven et al.,31.33716160787531
PT,16,1391,Manufacturer,20.632638389647738
PT,16,1391,refineR,16.175413371675056
PT,16,1391,Continuous (GAMLSS),14.306254493170382
PT,16,1391,Guven et al.,27.534148094895762
PT,17,1626,Manufacturer,18.51168511685117
PT,17,1626,refineR,14.883148831488317
PT,17,1626,Continuous (GAMLSS),12.976629766297663
PT,17,1626,Guven et al.,19.92619926199262
aPTT,1,1153,Manufacturer,38.768430182133564
aPTT,1,1153,refineR,15.437987857762359
aPTT,1,1153,Continuous (GAMLSS),14.310494362532525
aPTT,1,1153,Guven et al.,18.386816999132698
aPTT,2,875,Manufacturer,36.57142857142857
aPTT,2,875,refineR,16
aPTT,2,875,Continuous (GAMLSS),14.057142857142857
aPTT,2,875,Guven et al.,18.4
aPTT,3,735,Manufacturer,34.42176870748299
aPTT,3,735,refineR,11.292517006802722
aPTT,3,735,Continuous (GAMLSS),10.068027210884352
aPTT,3,735,Guven et al.,12.108843537414966
aPTT,4,818,Manufacturer,33.12958435207824
aPTT,4,818,refineR,10.635696821515893
aPTT,4,818,Continuous (GAMLSS),9.5354523227383865
aPTT,4,818,Guven et al.,12.102689486552567
aPTT,5,966,Manufacturer,36.231884057971016
aPTT,5,966,refineR,10.766045548654244
aPTT,5,966,Continuous (GAMLSS),9.937888198757763
aPTT,5,966,Guven et al.,12.008281573498964
aPTT,6,1012,Manufacturer,39.22924901185771
aPTT,6,1012,refineR,10.57312252964427
aPTT,6,1012,Continuous (GAMLSS),9.387351778656127
aPTT,6,1012,Guven et al.,12.154150197628459
aPTT,7,1024,Manufacturer,35.7421875
aPTT,7,1024,refineR,10.64453125
aPTT,7,1024,Continuous (GAMLSS),9.9609375
aPTT,7,1024,Guven et al.,13.76953125
aPTT,8,930,Manufacturer,36.45161290322581
aPTT,8,930,refineR,9.46236559139785
aPTT,8,930,Continuous (GAMLSS),8.60215053763441
aPTT,8,930,Guven et al.,14.086021505376344
aPTT,9,880,Manufacturer,36.81818181818181
aPTT,9,880,refineR,12.272727272727273
aPTT,9,880,Continuous (GAMLSS),11.022727272727273
aPTT,9,880,Guven et al.,14.09090909090909
aPTT,10,841,Manufacturer,32.461355529131986
aPTT,10,841,refineR,10.344827586206897
aPTT,10,841,Continuous (GAMLSS),9.512485136741974
aPTT,10,841,Guven et al.,12.48513674197384
aPTT,11,779,Manufacturer,32.99101412066752
aPTT,11,779,refineR,10.012836970474968
aPTT,11,779,Continuous (GAMLSS),9.114249037227214
aPTT,11,779,Guven et al.,11.810012836970476
aPTT,12,787,Manufacturer,31.003811944091485
aPTT,12,787,refineR,10.673443456162643
aPTT,12,787,Continuous (GAMLSS),9.275730622617536
aPTT,12,787,Guven et al.,13.087674714104194
aPTT,13,883,Manufacturer,28.652321630804078
aPTT,13,883,refineR,10.079275198187995
aPTT,13,883,Continuous (GAMLSS),10.30577576443941
aPTT,13,883,Guven et al.,13.476783691959229
aPTT,14,959,Manufacturer,28.675703858185607
aPTT,14,959,refineR,11.470281543274243
aPTT,14,959,Continuous (GAMLSS),10.636079249217936
aPTT,14,959,Guven et al.,16.16266944734098
aPTT,15,1190,Manufacturer,24.201680672268907
aPTT,15,1190,refineR,8.823529411764707
aPTT,15,1190,Continuous (GAMLSS),8.319327731092436
aPTT,15,1190,Guven et al.,15.042016806722689
aPTT,16,1387,Manufacturer,24.51333813987022
aPTT,16,1387,refineR,9.66113914924297
aPTT,16,1387,Continuous (GAMLSS),8.868060562364816
aPTT,16,1387,Guven et al.,17.73612112472963
aPTT,17,1681,Manufacturer,23.67638310529447
aPTT,17,1681,refineR,9.458655562165378
aPTT,17,1681,Continuous (GAMLSS),8.447352766210589
aPTT,17,1681,Guven et al.,19.393218322427128
