test,age_int,n,ri_source,fp_rate
Fibrinogen,1,208,Manufacturer,18.75
Fibrinogen,1,208,refineR,18.75
Fibrinogen,1,208,Continuous (GAMLSS),18.269230769230766
Fibrinogen,1,208,Guven et al.,NA
Fibrinogen,1,208,Direct (a posteriori),25
Fibrinogen,2,167,Manufacturer,16.766467065868262
Fibrinogen,2,167,refineR,18.562874251497004
Fibrinogen,2,167,Continuous (GAMLSS),16.766467065868262
Fibrinogen,2,167,Guven et al.,NA
Fibrinogen,2,167,Direct (a posteriori),25.748502994011975
Fibrinogen,3,138,Manufacturer,16.666666666666664
Fibrinogen,3,138,refineR,19.565217391304348
Fibrinogen,3,138,Continuous (GAMLSS),18.84057971014493
Fibrinogen,3,138,Guven et al.,NA
Fibrinogen,3,138,Direct (a posteriori),22.463768115942027
Fibrinogen,4,148,Manufacturer,14.864864864864865
Fibrinogen,4,148,refineR,22.972972972972975
Fibrinogen,4,148,Continuous (GAMLSS),22.2972972972973
Fibrinogen,4,148,Guven et al.,NA
Fibrinogen,4,148,Direct (a posteriori),20.27027027027027
Fibrinogen,5,172,Manufacturer,12.209302325581394
Fibrinogen,5,172,refineR,14.534883720930234
Fibrinogen,5,172,Continuous (GAMLSS),13.953488372093023
Fibrinogen,5,172,Guven et al.,NA
Fibrinogen,5,172,Direct (a posteriori),18.6046511627907
Fibrinogen,6,171,Manufacturer,11.695906432748536
Fibrinogen,6,171,refineR,15.789473684210526
Fibrinogen,6,171,Continuous (GAMLSS),16.374269005847953
Fibrinogen,6,171,Guven et al.,NA
Fibrinogen,6,171,Direct (a posteriori),18.128654970760234
Fibrinogen,7,165,Manufacturer,13.939393939393941
Fibrinogen,7,165,refineR,20
Fibrinogen,7,165,Continuous (GAMLSS),19.393939393939394
Fibrinogen,7,165,Guven et al.,NA
Fibrinogen,7,165,Direct (a posteriori),18.181818181818183
Fibrinogen,8,155,Manufacturer,14.838709677419354
Fibrinogen,8,155,refineR,15.483870967741936
