test,scenario,age_group,n,lower,median,upper,note
PT,S1_baseline,1-18 y,17000,8.56,9.65,10.87,
aPTT,S1_baseline,1-12 y,10091,24.26,29.27,35.28,
aPTT,S1_baseline,12-18 y,6910,23.27,28.23,33.88,
Fibrinogen,S1_baseline,1-18 y,3166,1.89,2.68,3.79,
PT,S2_no_ER,1-18 y,10432,8.53,9.6,10.79,
aPTT,S2_no_ER,1-12 y,6308,24.64,29.46,35.21,
aPTT,S2_no_ER,12-18 y,4241,23.71,28.44,33.22,
Fibrinogen,S2_no_ER,1-18 y,2306,1.9,2.69,3.8,
PT,S3_outpatient,1-18 y,7082,8.56,9.61,10.78,
aPTT,S3_outpatient,1-12 y,4191,23.99,29.33,34.74,
aPTT,S3_outpatient,12-18 y,2825,24.24,28.6,33.75,
Fibrinogen,S3_outpatient,1-18 y,1549,1.95,2.68,3.68,
PT,S4_ER_only,1-18 y,6568,8.63,9.78,11.09,
aPTT,S4_ER_only,1-12 y,3783,22.48,28.65,34.91,
aPTT,S4_ER_only,12-18 y,2669,21.54,27.43,33.6,
Fibrinogen,S4_ER_only,1-18 y,860,1.86,2.72,3.97,
