test,ri_source,fp_mean,fp_ci_lo,fp_ci_hi,fp_label
PT,Manufacturer,16.9584314189389,16.42500147867747,17.519370674868398,17.0 (16.4-17.5)
aPTT,Manufacturer,31.90691124260355,31.18328402366864,32.63920118343195,31.9 (31.2-32.6)
Fibrinogen,Manufacturer,14.32873674059788,13.11395049823208,15.5898424943748,14.3 (13.1-15.6)
PT,refineR,13.148837759507897,12.663245992784054,13.645235701188858,13.1 (12.7-13.6)
aPTT,refineR,10.946556213017752,10.502958579881657,11.420266272189348,10.9 (10.5-11.4)
Fibrinogen,refineR,19.33204757312761,18.064127290260366,20.669398907103822,19.3 (18.1-20.7)
PT,Continuous,11.390968238007925,10.924321287040872,11.859141184124919,11.4 (10.9-11.9)
aPTT,Continuous,10.005863905325445,9.544378698224852,10.455769230769231,10.0 (9.5-10.5)
Fibrinogen,Continuous,17.94236579877853,16.648987463837997,19.255062680810028,17.9 (16.6-19.3)
PT,Guven,29.341580410480866,28.650706807831078,30.03519252380671,29.3 (28.7-30.0)
aPTT,Guven,14.921550295857989,14.408136094674555,15.432100591715976,14.9 (14.4-15.4)
