test,ri_source,fp_mean,fp_ci_lo,fp_ci_hi,fp_label
PT,Manufacturer,17.424911764705882,16.852794117647058,17.97058823529412,17.4 (16.9-18.0)
aPTT,Manufacturer,32.31186989000647,31.603876242573964,33.03349802952768,32.3 (31.6-33.0)
Fibrinogen,Manufacturer,15.823246999368289,14.592545799115603,17.087807959570437,15.8 (14.6-17.1)
PT,refineR,13.618682352941176,13.123529411764705,14.147205882352942,13.6 (13.1-14.1)
Fibrinogen,refineR,20.74485154769425,19.298799747315222,22.17308907138345,20.7 (19.3-22.2)
aPTT,refineR,11.468925357331921,11.005234986177284,11.940621139932947,11.5 (11.0-11.9)
PT,Continuous,12.934164705882353,12.423382352941177,13.417794117647057,12.9 (12.4-13.4)
aPTT,Continuous,10.702752779248279,10.234692076936652,11.199488265396154,10.7 (10.2-11.2)
Fibrinogen,Continuous,20.790555906506633,19.45672773215414,22.237049905243207,20.8 (19.5-22.2)
PT,Guven,29.71049411764706,29.041029411764708,30.370735294117644,29.7 (29.0-30.4)
aPTT,Guven,15.416034350920533,14.898682430445268,15.952002823363332,15.4 (14.9-16.0)
PT,Direct,10.09819411764706,9.611617647058823,10.576617647058823,10.1 (9.6-10.6)
Fibrinogen,Direct,22.150189513581807,20.688566013897663,23.68919772583702,22.2 (20.7-23.7)
aPTT,Direct,9.370589965296158,8.917122522204576,9.799423563319804,9.4 (8.9-9.8)
