test,age_int,n,mean,sd,median,q25,q75,min,max,skewness,kurtosis
PT,1,1143,9.85,1.11,9.64,9.17,10.3,7.89,17.1,2.321,11.996
PT,2,873,9.92,1.08,9.71,9.24,10.3,7.98,15.8,1.844,7.821
PT,3,745,9.86,1.04,9.63,9.24,10.2,8.19,17.1,2.264,12.291
PT,4,822,9.85,0.91,9.71,9.26,10.2,8.09,16,1.781,9.368
PT,5,970,9.88,1.01,9.71,9.29,10.2,7.88,16.9,2.6,14.582
PT,6,1030,9.92,0.95,9.77,9.32,10.3,8.13,16.1,2.113,10.869
PT,7,1020,9.96,0.99,9.79,9.33,10.3,8.21,16.4,2.191,11.648
PT,8,934,9.87,0.96,9.72,9.29,10.3,7.56,17.3,2.647,16.809
PT,9,877,9.97,0.92,9.83,9.41,10.3,7.66,15.9,1.788,9.13
PT,10,837,9.93,0.88,9.77,9.39,10.3,8.4,16.7,2.033,11.459
PT,11,771,9.89,0.85,9.74,9.37,10.3,8.07,15.3,1.858,9.454
PT,12,791,9.97,0.87,9.83,9.43,10.35,8.01,15.9,1.767,10.005
PT,13,899,10.03,0.98,9.89,9.42,10.4,7.95,17.4,2.513,15.558
PT,14,959,10.02,0.97,9.87,9.39,10.4,6.1,15.8,1.506,8.047
PT,15,1219,10.02,0.98,9.86,9.4,10.4,8.17,16.6,1.901,10.273
PT,16,1391,9.96,0.91,9.83,9.36,10.4,7.64,16.4,1.197,6.997
PT,17,1626,9.9,1.04,9.74,9.28,10.3,7.5,17.1,2.173,12.153
aPTT,1,1153,28.88,3.83,29,26.6,31.2,16.6,42.2,-0.024,3.665
aPTT,2,875,28.59,3.79,28.6,26.05,31,16.3,40.2,0.086,3.414
aPTT,3,735,28.78,3.45,28.7,26.6,30.9,16.2,41.1,0.053,3.788
aPTT,4,818,29.03,3.37,29,27,31,17.7,42.4,0.232,4.026
aPTT,5,966,29.31,3.44,29.2,27.22,31.3,17.5,42,0.161,4.085
aPTT,6,1012,29.44,3.43,29.5,27.5,31.4,15.7,42.1,-0.19,4.581
aPTT,7,1024,29.38,3.33,29.4,27.4,31.4,18.1,40.3,0.063,3.663
aPTT,8,930,29.34,3.29,29.35,27.4,31.2,17.1,41.6,0.14,3.929
aPTT,9,880,29.14,3.47,29.2,27.17,31.3,15.3,41.5,-0.124,3.94
aPTT,10,841,28.94,3.29,28.9,27,31,15.3,40.8,-0.021,3.981
aPTT,11,779,28.87,3.28,28.8,26.9,30.9,16.9,42.1,-0.049,3.769
aPTT,12,787,28.68,3.33,28.7,26.8,30.7,15.4,40.4,0.011,4.293
aPTT,13,883,28.55,3.29,28.6,26.6,30.4,16.4,42.2,0.017,4.512
aPTT,14,959,28.25,3.32,28.3,26.3,30.2,15.5,40.6,-0.107,3.672
aPTT,15,1190,28.05,3.09,27.9,26.13,29.9,16.7,42.3,0.281,4.447
aPTT,16,1387,27.74,3.18,27.7,25.9,29.75,15.7,41.4,0.093,4.138
aPTT,17,1681,27.98,3.14,28.1,26.1,29.9,15.7,42.3,0.013,4.223
Fibrinogen,1,206,2.78,0.85,2.54,2.22,3.21,0.74,5.87,1.034,4.406
Fibrinogen,2,165,2.79,0.84,2.62,2.25,3.12,0.83,5.97,1.166,4.704
Fibrinogen,3,136,2.96,0.87,2.8,2.31,3.42,1.3,5.7,1.085,3.945
Fibrinogen,4,146,3.04,0.88,2.86,2.51,3.32,0.85,5.59,1.048,4.149
Fibrinogen,5,170,2.9,0.82,2.74,2.34,3.18,1.07,5.97,1.487,5.728
Fibrinogen,6,168,2.9,0.74,2.76,2.43,3.24,0.79,5.53,0.789,4.358
Fibrinogen,7,164,3.01,0.83,2.82,2.51,3.42,0.46,5.64,0.727,4.465
Fibrinogen,8,154,2.84,0.77,2.7,2.37,3.24,0.62,5.64,0.605,4.928
Fibrinogen,9,147,3,0.84,2.77,2.46,3.45,1.14,5.91,1.048,4.299
Fibrinogen,10,162,3.11,0.85,2.92,2.55,3.55,0.69,5.88,0.763,4.08
Fibrinogen,11,137,3.01,0.68,2.93,2.61,3.37,0.99,5.24,0.55,4.093
Fibrinogen,12,139,3.03,0.73,2.81,2.52,3.44,1.84,5.15,1.052,3.482
Fibrinogen,13,164,3.01,0.76,2.84,2.5,3.38,1.37,5.59,1.093,4.347
Fibrinogen,14,186,3.03,0.83,2.88,2.5,3.48,0.96,5.76,0.504,3.367
Fibrinogen,15,232,3.11,0.83,3.01,2.53,3.55,0.89,5.98,0.781,3.958
Fibrinogen,16,270,3.1,0.85,2.91,2.43,3.63,1.17,5.5,0.807,3.104
Fibrinogen,17,365,3.25,0.91,3.05,2.57,3.86,0.74,5.87,0.686,2.847
