test,age,p2.5,p2.5_ci_lo,p2.5_ci_hi,p50,p50_ci_lo,p50_ci_hi,p97.5,p97.5_ci_lo,p97.5_ci_hi
PT,1,8.48,8.43,8.54,9.55,9.49,9.61,10.87,10.76,10.96
PT,2,8.49,8.46,8.53,9.56,9.53,9.6,10.88,10.81,10.94
PT,3,8.5,8.46,8.53,9.58,9.53,9.61,10.9,10.82,10.95
PT,4,8.53,8.49,8.55,9.61,9.55,9.63,10.93,10.85,10.99
PT,5,8.57,8.53,8.59,9.65,9.6,9.67,10.98,10.9,11.04
PT,6,8.6,8.56,8.64,9.69,9.62,9.73,11.03,10.93,11.09
PT,7,8.61,8.55,8.65,9.7,9.63,9.73,11.04,10.93,11.09
PT,8,8.61,8.55,8.63,9.7,9.62,9.71,11.03,10.93,11.07
PT,9,8.61,8.59,8.66,9.7,9.67,9.75,11.04,10.98,11.11
PT,10,8.61,8.58,8.64,9.7,9.67,9.73,11.03,10.97,11.08
PT,11,8.62,8.58,8.64,9.71,9.65,9.72,11.04,10.97,11.07
PT,12,8.66,8.63,8.7,9.76,9.72,9.79,11.1,11.04,11.15
PT,13,8.7,8.66,8.75,9.8,9.76,9.85,11.15,11.09,11.23
PT,14,8.7,8.65,8.74,9.8,9.74,9.84,11.15,11.05,11.22
PT,15,8.68,8.64,8.72,9.78,9.73,9.83,11.12,11.05,11.2
PT,16,8.62,8.56,8.66,9.71,9.64,9.75,11.05,10.94,11.12
PT,17,8.54,8.52,8.6,9.62,9.6,9.67,10.94,10.91,11.03
PT,18,8.45,8.41,8.68,9.52,9.47,9.76,10.83,10.76,11.09
aPTT,1,22.83,22.48,23.84,28.85,28.74,29.29,35.36,34.85,35.95
aPTT,2,22.82,22.1,23.36,28.64,28.46,28.95,34.91,34.68,35.69
aPTT,3,23.06,22.7,24.11,28.71,28.57,29.13,34.81,34.38,35.24
aPTT,4,23.46,23.17,24.15,29,28.85,29.3,34.95,34.16,35.24
aPTT,5,23.87,23.64,24.61,29.32,29.11,29.6,35.16,33.98,35.44
aPTT,6,24.13,23.87,24.96,29.5,29.36,29.69,35.26,34.41,35.45
aPTT,7,24.17,23.72,24.73,29.48,29.25,29.61,35.15,34.68,35.53
aPTT,8,24.13,23.82,24.55,29.39,29.21,29.54,35.02,34.55,35.34
aPTT,9,24.04,23.69,24.49,29.29,29.14,29.46,34.91,34.55,35.31
aPTT,10,23.91,23.45,24.49,29.15,28.92,29.28,34.76,33.96,35.1
aPTT,11,23.76,23.22,24.15,28.97,28.71,29.09,34.54,33.87,34.98
aPTT,12,23.56,23.26,24.1,28.72,28.54,28.9,34.23,33.61,34.65
aPTT,13,23.39,23.21,24.01,28.49,28.4,28.77,33.95,33.53,34.44
aPTT,14,23.22,22.9,23.81,28.3,28.19,28.57,33.72,33.09,34.24
aPTT,15,23.06,22.63,23.92,28.12,27.82,28.19,33.53,32.27,33.71
aPTT,16,22.94,22.52,23.21,28,27.46,28.01,33.41,32.28,33.55
aPTT,17,22.93,22.66,24.01,28.01,27.86,28.4,33.44,32.93,33.66
aPTT,18,22.95,22.32,25.59,28.05,27.84,29.34,33.51,32.27,35.14
Fibrinogen,1,1.76,1.68,1.82,2.52,2.42,2.62,3.61,3.31,4.01
Fibrinogen,2,1.79,1.73,1.85,2.56,2.47,2.65,3.66,3.38,3.99
Fibrinogen,3,1.82,1.78,1.88,2.6,2.53,2.69,3.71,3.47,3.98
Fibrinogen,4,1.85,1.81,1.91,2.63,2.58,2.72,3.75,3.56,3.98
Fibrinogen,5,1.87,1.86,1.93,2.66,2.61,2.73,3.79,3.58,3.98
Fibrinogen,6,1.89,1.88,1.96,2.69,2.64,2.75,3.81,3.62,3.94
Fibrinogen,7,1.91,1.89,1.97,2.7,2.66,2.76,3.83,3.64,3.96
Fibrinogen,8,1.92,1.9,1.98,2.72,2.65,2.76,3.84,3.65,3.96
Fibrinogen,9,1.94,1.92,1.99,2.74,2.68,2.78,3.86,3.65,3.97
Fibrinogen,10,1.96,1.94,2.02,2.76,2.72,2.81,3.89,3.7,4.01
Fibrinogen,11,1.98,1.95,2.06,2.78,2.73,2.84,3.91,3.71,4.04
Fibrinogen,12,1.98,1.94,2.02,2.79,2.74,2.83,3.91,3.78,4.07
Fibrinogen,13,1.98,1.92,1.99,2.78,2.71,2.85,3.89,3.78,4.19
Fibrinogen,14,1.97,1.87,1.97,2.76,2.7,2.89,3.86,3.75,4.48
Fibrinogen,15,1.95,1.85,1.97,2.72,2.69,2.97,3.8,3.77,4.71
Fibrinogen,16,1.92,1.84,1.98,2.68,2.65,3.08,3.73,3.64,4.95
Fibrinogen,17,1.9,1.84,1.99,2.64,2.62,3.22,3.67,3.59,5.24
Fibrinogen,18,1.87,1.84,2.07,2.6,2.6,3.33,3.61,3.57,5.7
