age_int,n_total,n_female,n_male,pct_female,pct_male
1,2535,863,1672,34,66
10,1848,798,1050,43.2,56.8
11,1693,763,930,45.1,54.9
12,1728,795,933,46,54
13,1952,905,1047,46.4,53.6
14,2115,1036,1079,49,51
15,2661,1298,1363,48.8,51.2
16,3066,1575,1491,51.4,48.6
17,3690,1950,1740,52.8,47.2
2,1935,855,1080,44.2,55.8
3,1630,683,947,41.9,58.1
4,1794,771,1023,43,57
5,2121,825,1296,38.9,61.1
6,2227,817,1410,36.7,63.3
7,2224,859,1365,38.6,61.4
8,2034,788,1246,38.7,61.3
9,1914,731,1183,38.2,61.8
Total,37167,16312,20855,43.9,56.1
Fibrinogen,3166,1550,1616,49,51
PT,17000,7382,9618,43.4,56.6
aPTT,17001,7380,9621,43.4,56.6
