age_int,n,mean,sd,median,q25,q75,min,max,skewness,kurtosis
1,1153,28.88,3.83,29,26.6,31.2,16.6,42.2,-0.024,3.665
2,875,28.59,3.79,28.6,26.05,31,16.3,40.2,0.086,3.414
3,735,28.78,3.45,28.7,26.6,30.9,16.2,41.1,0.053,3.788
4,818,29.03,3.37,29,27,31,17.7,42.4,0.232,4.026
5,966,29.31,3.44,29.2,27.22,31.3,17.5,42,0.161,4.085
6,1012,29.44,3.43,29.5,27.5,31.4,15.7,42.1,-0.19,4.581
7,1024,29.38,3.33,29.4,27.4,31.4,18.1,40.3,0.063,3.663
8,930,29.34,3.29,29.35,27.4,31.2,17.1,41.6,0.14,3.929
9,880,29.14,3.47,29.2,27.17,31.3,15.3,41.5,-0.124,3.94
10,841,28.94,3.29,28.9,27,31,15.3,40.8,-0.021,3.981
11,779,28.87,3.28,28.8,26.9,30.9,16.9,42.1,-0.049,3.769
12,787,28.68,3.33,28.7,26.8,30.7,15.4,40.4,0.011,4.293
13,883,28.55,3.29,28.6,26.6,30.4,16.4,42.2,0.017,4.512
14,959,28.25,3.32,28.3,26.3,30.2,15.5,40.6,-0.107,3.672
15,1190,28.05,3.09,27.9,26.13,29.9,16.7,42.3,0.281,4.447
16,1387,27.74,3.18,27.7,25.9,29.75,15.7,41.4,0.093,4.138
17,1681,27.98,3.14,28.1,26.1,29.9,15.7,42.3,0.013,4.223
