age_int,n,mean,sd,median,q25,q75,min,max,skewness,kurtosis
1,206,2.78,0.85,2.54,2.22,3.21,0.74,5.87,1.034,4.406
2,165,2.79,0.84,2.62,2.25,3.12,0.83,5.97,1.166,4.704
3,136,2.96,0.87,2.8,2.31,3.42,1.3,5.7,1.085,3.945
4,146,3.04,0.88,2.86,2.51,3.32,0.85,5.59,1.048,4.149
5,170,2.9,0.82,2.74,2.34,3.18,1.07,5.97,1.487,5.728
6,168,2.9,0.74,2.76,2.43,3.24,0.79,5.53,0.789,4.358
7,164,3.01,0.83,2.82,2.51,3.42,0.46,5.64,0.727,4.465
8,154,2.84,0.77,2.7,2.37,3.24,0.62,5.64,0.605,4.928
9,147,3,0.84,2.77,2.46,3.45,1.14,5.91,1.048,4.299
10,162,3.11,0.85,2.92,2.55,3.55,0.69,5.88,0.763,4.08
11,137,3.01,0.68,2.93,2.61,3.37,0.99,5.24,0.55,4.093
12,139,3.03,0.73,2.81,2.52,3.44,1.84,5.15,1.052,3.482
13,164,3.01,0.76,2.84,2.5,3.38,1.37,5.59,1.093,4.347
14,186,3.03,0.83,2.88,2.5,3.48,0.96,5.76,0.504,3.367
15,232,3.11,0.83,3.01,2.53,3.55,0.89,5.98,0.781,3.958
16,270,3.1,0.85,2.91,2.43,3.63,1.17,5.5,0.807,3.104
17,365,3.25,0.91,3.05,2.57,3.86,0.74,5.87,0.686,2.847
