age_int,sex,n,lower_2.5,lower_ci_lo,lower_ci_hi,upper_97.5,upper_ci_lo,upper_ci_hi
1,E,770,8.42,8.24,8.51,10.63,10.39,11.05
1,K,385,8.31,8.04,8.54,11.3,10.75,11.6
2,E,497,8.33,8.19,8.91,10.97,10.38,11.18
2,K,383,8.49,8.32,8.84,10.58,10.08,11.15
3,E,437,8.36,8.2,8.99,10.77,9.88,10.96
3,K,313,8.59,8.39,8.9,10.59,10.23,11.07
4,E,475,8.37,8.25,8.84,10.89,10.62,11.21
4,K,350,8.82,8.38,9.13,10.67,10,10.98
5,E,595,8.51,8.36,8.8,10.81,10.28,11.02
5,K,383,8.54,8.45,8.87,10.83,10.39,10.99
6,E,665,8.63,8.48,8.71,10.86,10.51,11.07
6,K,373,8.58,8.13,8.88,11.06,10.61,11.56
7,E,631,8.54,8.37,8.64,10.93,10.74,11.13
7,K,395,8.46,8.18,8.68,11.04,10.83,11.57
8,E,586,8.51,8.36,9.21,10.85,10.02,11.05
8,K,356,8.58,8.33,8.72,10.93,10.63,11.3
9,E,540,8.63,8.53,8.86,10.99,10.57,11.13
9,K,341,8.77,8.64,8.98,10.7,10.47,10.88
10,E,480,8.61,8.48,8.79,10.85,10.46,11.11
10,K,361,8.58,8.47,9.16,10.86,10.17,11.08
11,E,423,8.5,8.39,9.03,10.93,10.36,11.16
11,K,352,8.97,8.71,9.38,10.34,9.94,10.59
12,E,430,8.63,8.49,9.17,11.04,10.5,11.28
12,K,363,8.73,8.56,9.09,10.86,10.37,10.91
13,E,488,8.76,8.59,9.18,11.19,10.69,11.56
13,K,413,8.55,8.4,9.12,10.91,10.26,11.03
14,E,495,8.75,8.6,9.06,11.41,11.03,11.51
14,K,469,8.47,8.34,8.81,10.75,10.39,11.09
15,E,640,8.8,8.67,8.97,11.13,10.86,11.56
15,K,587,8.52,8.33,8.72,10.6,10.08,10.91
16,E,688,8.75,8.5,9,11.26,10.98,11.57
16,K,707,8.56,8.49,8.79,10.55,10.26,10.71
17,E,778,8.74,8.55,8.8,10.98,10.79,11.3
17,K,851,8.35,8.28,8.74,10.73,10.39,10.82
