age_int,sex,n,lower_2.5,lower_ci_lo,lower_ci_hi,upper_97.5,upper_ci_lo,upper_ci_hi
1,E,782,22.8,22.3,24.25,35.06,34.31,36.29
1,K,390,22.99,22.46,26.34,35.08,33.72,35.67
2,E,498,21.6,21.41,26.37,35.61,33.41,36.07
2,K,390,22.11,21.7,25.19,34.72,32.6,35.86
3,E,437,22.99,22.5,24.88,35.09,33.17,35.85
3,K,305,23.65,22.61,25.89,34.9,31.56,35.48
4,E,468,24.67,23.7,26.52,34.48,33.01,34.83
4,K,353,22.86,22.86,26.08,34.81,32.1,35.05
5,E,594,24.5,23.66,25.37,34.04,32.71,35.7
5,K,377,23.56,23.4,26.32,34.79,32.66,35.24
6,E,648,24.99,23.97,26.07,35.44,34.01,35.7
6,K,370,23.78,23.47,26.09,35.31,31.61,35.8
7,E,641,24.39,23.65,25.67,35.63,33.4,35.9
7,K,392,23.19,22.99,25.53,35.01,32.35,35.78
8,E,581,24.68,23.8,26.57,34.23,32.43,35.01
8,K,356,24.41,23.76,27.13,34.27,32.62,35.26
9,E,549,23.95,23.62,25.29,34.91,33.94,35.67
9,K,336,23.84,23.65,27.44,34.36,30.42,34.7
10,E,479,23.79,22.58,25.71,35.35,33.03,35.78
10,K,364,24.11,23.86,25.78,34.71,31.61,34.61
11,E,429,24.55,24,25.64,32.56,31.49,34.09
11,K,352,25.87,23.5,27.42,33.61,31.97,34.62
12,E,427,23.18,22.49,25.05,34.87,32.07,35.09
12,K,362,24.05,23.81,26.44,33.85,32.05,34.42
13,E,476,23.86,23.39,25.43,34.53,31.9,34.61
13,K,409,23.55,23.21,25.08,33.81,31.2,34.24
14,E,495,23.3,23.08,25.28,34.29,32.41,34.74
14,K,468,22.77,22.41,24.91,33.34,31.47,33.8
15,E,622,23.72,23.02,24.65,33.71,30.92,34.04
15,K,572,22.34,22.22,25.12,33.39,31.74,33.63
16,E,688,21.73,21.46,23.37,33.29,31.83,33.99
16,K,705,23.42,22.68,24.21,33.54,30.63,33.73
17,E,807,23.69,22.62,24.78,32.85,32.34,33.69
17,K,879,23.19,22.9,24.54,33.4,32.35,33.86
