age_int,n,lower_2.5,lower_ci_lo,lower_ci_hi,upper_97.5,upper_ci_lo,upper_ci_hi
1,208,1.78,1.7,1.87,3.2,2.97,3.45
2,167,1.75,1.69,1.97,3.67,3.15,3.89
3,138,1.88,1.59,2.16,2.93,2.61,4.35
4,148,1.9,1.81,2.57,3.48,2.72,4.03
5,172,1.9,1.71,2.19,3.29,3.07,4
6,171,1.94,1.73,2.54,3.59,2.57,3.98
7,165,2.03,1.96,2.1,3.59,3.39,3.83
8,155,1.85,1.77,2.03,4.01,3.19,4.13
9,148,2.05,1.85,2.25,3.4,2.98,3.67
10,164,2.03,1.91,2.53,3.83,2.91,4.14
11,137,2.21,1.98,2.49,3.75,3.36,3.95
12,146,2.08,1.95,2.57,3.39,2.71,3.67
13,166,1.96,1.83,2.09,3.8,3.42,4.06
14,188,1.87,1.79,2.05,4.1,3.33,4.39
15,240,1.66,1.63,2.08,4.49,4.05,4.76
16,278,1.63,1.47,2,3.78,3.16,4.62
17,375,1.77,1.72,2.03,4.36,3.42,4.42
